Origin,Destination,MedianTimeSeconds,Frequency
Operation 4 (på OP1 under sommaren),Röntgen Norr rum S12,1075.5,2
Avd 69 Onkologi,Avd 141 Hematologi,1595.0,2
Avd 34 Geriatrik,Preoperativ mottagning Sahlgrenska Blå str 7 plan 1,640.5,2
Avd 69 Onkologi,Avd 18 Öron Näsa Hals,1854.0,2
Lungmottagningen Vita Str 12,Avd 91 MAVA,1646.5,2
Lungmottagningen Vita Str 12,KFU Klinisk Fysiologi Ultraljud,871.0,2
Ortopedimottagning (Blå stråket 3),Avd 115 Reumatologi,946.0,2
Avd 30 Urologi,Operation 1 Narkosbedömning,1272.5,2
Dialysmottagning (avd 130),Avd 134 Ryggmärgsskador,726.0,2
PIVA avd 22,Avd 143 Transplantationsmottagning,1270.0,2
Avd 69 Onkologi,Preoperativ mottagning Sahlgrenska Blå str 7 plan 1,646.0,2
Avd 32 Specialistmedicin,Avd 138 Kärlkirurgi,1151.5,2
PIVA avd 22,Avd 26 Hjärtdagsjukvård,1585.0,2
Avd 91 MAVA,Strålbehandling Rum 3,814.5,2
Avd 91 MAVA,Strålbehandling Rum 4,1036.5,2
Nuklearmedicin Klin Fys,Avd 12 Thoraxkirurgi,1501.0,2
Avd 34 Geriatrik,Medicinmottagning 1,735.0,2
Iohexol njurfunktion Klin Fys (crom),AKOM akutteam 4,350.5,2
Avd 32 Specialistmedicin,Avd 15/28 Ortopedi,1676.0,2
Iohexol njurfunktion Klin Fys (crom),Avd 132 Kirurgi,1152.5,2
Iohexol njurfunktion Klin Fys (crom),Avd 136 Kirurgi,2108.0,2
Iohexol njurfunktion Klin Fys (crom),Avd 19 specialist,1948.5,2
Avd 21 Geriatrik,Gynekologisk Mottagning,480.5,2
Avd 91 MAVA,Röntgen Plan 01 rum s19,784.0,2
Avd 32 Specialistmedicin,Avd 18 Öron Näsa Hals,756.0,2
Avd 91 MAVA,Röntgen Plan 2/3 rum s22,953.0,2
Avd 68 Gynekologi,Preoperativ mottagning Sahlgrenska Blå str 7 plan 1,427.5,2
Avd 68 Gynekologi,Röntgen Buk och Kärl S30 Genomlysning (Uppgång C plan 2),180.0,2
Avd 68 Gynekologi,Röntgen Norr rum S11,1580.5,2
Avd 18 Öron Näsa Hals,Operation 4,673.0,2
Avd 25 Thoraxkirurgi,Röntgen Plan 01 rum s18 (MR),626.0,2
Avd 68 Gynekologi,Röntgen Plan 2/3 rum s22,238.5,2
EEG - Klinisk Neurofysiologimott.,Avd 131 Njurmedicin,1984.5,2
Avd 91 MAVA,Onkologimottagning 1 och 2 (JK Blå str 2),986.5,2
Avd 91 MAVA,Plastikmottagningen (Blå str 3),349.5,2
Dialysmottagning (avd 130),Neurooftamologisk mott Sahlgrenska ÖK,1024.5,2
Avd 30 Urologi,Röntgen Norr rum S10,265.0,2
KFU Klinisk Fysiologi Ultraljud,Avd 14 Plastik,966.5,2
KFU Klinisk Fysiologi Ultraljud,Avd 140 Hematologisk Mottagning,1451.0,2
Röntgen Buk och Kärl S30 Genomlysning (Uppgång C plan 2),Avd 53 Onkologi,1240.0,2
Postop 4,Avd 14 Plastik,1502.0,2
Dialysmottagning (avd 130),Röntgen Buk och Kärl S31 S32 S33 Ultraljud (Uppgång C plan 2),420.0,2
Dialysmottagning (avd 130),Röntgen Norr rum S11,291.5,2
Avd 91 MAVA,Kärlkirurgimottagning (Vita Str 12),338.0,2
Avd 18 Öron Näsa Hals (på 27 under sommaren),Avd 136 Kirurgi,473.5,2
Avd 91 MAVA,Neurooftamologisk mott Sahlgrenska ÖK,108.5,2
Avd 91 MAVA,Avd 12 Thoraxkirurgi,637.5,2
Avd 18 Öron Näsa Hals (på 27 under sommaren),Operation 8,746.5,2
Röntgen Buk och Kärl S30 Genomlysning (Uppgång C plan 2),AKOM team 2 medicin,1191.5,2
Avd 91 MAVA,Avd 139 Transplantation,2048.0,2
MR 51 Gamla Magnetkameran,Avd 141 Hematologi,1187.0,2
GEA Gastroenterologisk Endoskopi,Avd 10 Neurokirurgi,643.0,2
Avd 91 MAVA,Avd 93 HIA Hjärtintensiv,757.0,2
Iohexol njurfunktion Klin Fys (crom),Röntgen Söder rum S4,1279.0,2
Avd 91 MAVA,Gynekologisk Mottagning,409.0,2
Avd 91 MAVA,Hudmottagningen plan 01,564.0,2
MR 51 Gamla Magnetkameran,Avd 15/28 Ortopedi,1216.5,2
Avd 34 Geriatrik,Hjärtmottagningen,400.5,2
Avd 34 Geriatrik,Kirurgmottagningen,568.5,2
MR 51 Gamla Magnetkameran,Avd 19 specialist,1767.5,2
Avd 34 Geriatrik,Kärlkirurgimottagning (Vita Str 12),692.0,2
KFU Klinisk Fysiologi Ultraljud,Andningsfysiologi Klin fys mottagning 3,743.5,2
Fysioterapi Vita str 13,Hjärtmottagningen,1806.0,2
Avd 23 Neurokirurgi,Röntgen Plan 01 rum s19,76.0,2
Avd 30 Urologi,Lungdiagnostisk Mott.,320.0,2
GEA Gastroenterologisk Endoskopi,AKOM akutteam 1,897.5,2
Avd 69 Onkologi,Hudmottagningen plan 01,357.0,2
Avd 52 Onkologi,Röntgen Plan 2/3 rum s22,1111.5,2
Neurooftamologisk mott Sahlgrenska ÖK,Avd 54 Onkologi,1360.5,2
Avd 21 Geriatrik,Andningsfysiologi Klin fys mottagning 3,230.0,2
Avd 69 Onkologi,Medicinmottagning 2,523.5,2
Röntgen Buk och Kärl S30 Genomlysning (Uppgång C plan 2),AKOM team 3 OBS:en,790.0,2
Operation 4,Röntgen Norr rum S12,2059.5,2
Fysioterapi Vita str 13,Avd 115 Reumatologi,1528.0,2
KFU Klinisk Fysiologi Ultraljud,Röntgen Buk och Kärl S30 Genomlysning (Uppgång C plan 2),18.5,2
Operation 4 (på OP1 under sommaren),71 Onkologisk mottagning team 3,1530.0,2
MR 51 Gamla Magnetkameran,Avd 137 Kirurgi,1347.0,2
KFU Klinisk Fysiologi Ultraljud,Röntgen Norr rum S16,409.0,2
Avd 90 MAVA,Strålbehandling Rum 9,993.5,2
Avd 90 MAVA,TVE Traumavårdsenhet,2254.0,2
MR 51 Gamla Magnetkameran,Avd 139 Transplantation,1167.0,2
GEA Gastroenterologisk Endoskopi,Avd 92 HIA Hjärtintensiv,573.5,2
Operation 8,Avd 18 Öron Näsa Hals,456.5,2
MR 51 Gamla Magnetkameran,AKOM akutteam 1,2237.0,2
Röntgen Buk och Kärl S30 Genomlysning (Uppgång C plan 2),AKOM triage,673.0,2
Avd 52 Onkologi,Röntgen Norr rum S14 MR-kamera,1085.0,2
Avd 52 Onkologi,Röntgen Norr rum s9,541.0,2
KFU Klinisk Fysiologi Ultraljud,Intervention 2,432.5,2
Avd 90 MAVA,Röntgen Plan 01 rum s19,1159.5,2
Avd 52 Onkologi,Röntgen Plan 01 rum s17,839.0,2
Avd 52 Onkologi,Röntgen Plan 01 rum s19,1427.5,2
Operation 4 (på OP1 under sommaren),Avd 19 specialist,1149.0,2
GEA Gastroenterologisk Endoskopi,Avd 53 Onkologi,1586.0,2
Avd 34 Geriatrik,Gynekologisk Mottagning,809.0,2
GEA Gastroenterologisk Endoskopi,Avd 81 Psykiatri,1486.5,2
Nuklearmedicin Klin Fys,Avd 93 HIA Hjärtintensiv,447.5,2
KFU Klinisk Fysiologi Ultraljud,Avd 26 Hjärtdagsjukvård,772.5,2
KFU Klinisk Fysiologi Ultraljud,Avd 30 Urologi (På 131 under sommaren),940.0,2
Avd 90 MAVA,Nuklearmedicin Klin Fys,771.0,2
KFU Klinisk Fysiologi Ultraljud,Avd 68 Gynekologi,1685.0,2
Operation 4 (på OP1 under sommaren),Avd 27 Plastik,1001.5,2
Nuklearmedicin Klin Fys,Huvudentrén,1067.5,2
KFU Klinisk Fysiologi Ultraljud,Hjärtmottagningen,1496.0,2
Avd 16/29 medicin,MR 51 Gamla Magnetkameran,711.5,2
Lungonkologisk Mottagning LOM,Röntgen Plan 01 rum s20,949.5,2
GEA Gastroenterologisk Endoskopi,Avd 18 Öron Näsa Hals (på 27 under sommaren),807.0,2
GEA Gastroenterologisk Endoskopi,Avd 25 Thoraxkirurgi,754.0,2
Lungonkologisk Mottagning LOM,Röntgen-reception Uppgång G,1101.0,2
Postop 4,Avd 132 Kirurgi,2267.5,2
Operation 8,Avd 54 Onkologi,1113.5,2
Avd 69 Onkologi,AKOM triage,1188.0,2
Mammografi,Avd 21 Geriatrik,976.5,2
Hjärtmottagningen,Avd 67 Gynekologi,1082.5,2
Hjärtmottagningen,Avd 90 MAVA,1206.5,2
Röntgen Buk och Kärl S30 Genomlysning (Uppgång C plan 2),Avd 115 Reumatologi,1110.0,2
Mammografi,Avd 52 Onkologi,1151.5,2
Gynekologisk Mottagning,Avd 21 Geriatrik,1025.5,2
KFU Klinisk Fysiologi Ultraljud,Avd 18 Öron Näsa Hals (på 27 under sommaren),874.5,2
Avd 21 Geriatrik,Avd 131 Njurmedicin,1102.0,2
Gynekologisk Mottagning,Avd 90 MAVA,1828.0,2
Avd 34 Geriatrik,Avd 16/29 medicin,1601.0,2
Gynekologisk Mottagning,Gynekologisk Mottagning,1736.0,2
Röntgen Buk och Kärl S30 Genomlysning (Uppgång C plan 2),Avd 133 Neurologi,1630.0,2
Röntgen Buk och Kärl S30 Genomlysning (Uppgång C plan 2),Avd 134 Ryggmärgsskador,931.0,2
Operation 5 Neurokirurgi,Avd 54 Onkologi,1177.5,2
Avd 30 Urologi,Dagvård Urologmottagningen,817.5,2
Avd 34 Geriatrik,Avd 93 HIA Hjärtintensiv,2172.0,2
Gynekologisk Mottagning,Avd 136 Kirurgi,1212.5,2
Mammografi,Avd 135 Stroke,1338.0,2
Avd 18 Öron Näsa Hals (på 27 under sommaren),Röntgen Norr rum S11,711.0,2
Gynekologisk Mottagning,Avd 16/29 medicin,1566.0,2
GEA Gastroenterologisk Endoskopi,Kirurgmottagningen,601.0,2
Avd 21 Geriatrik,EEG - Klinisk Neurofysiologimott.,1073.5,2
Röntgen Buk och Kärl S31 S32 S33 Ultraljud (Uppgång C plan 2),Avd 92 HIA Hjärtintensiv,983.5,2
Avd 23 Neurokirurgi,Röntgen Norr rum S11,465.0,2
Avd 68 Gynekologi,Avd 138 Kärlkirurgi,3352.5,2
Röntgen Buk och Kärl S31 S32 S33 Ultraljud (Uppgång C plan 2),Avd 26 Hjärtdagsjukvård,816.5,2
MR 52 Gamla Magnetkameran,Avd 67 Gynekologi,1196.5,2
MR 52 Gamla Magnetkameran,Avd 81 Psykiatri,709.5,2
Avd 18 Öron Näsa Hals,Avd 15/28 Ortopedi,129.5,2
Avd 31 Plastik dagvård,Röntgen Norr rum S10,999.0,2
Avd 18 Öron Näsa Hals (på 27 under sommaren),Öron Näsa Hals-Mottagningen (gamla rtg),704.0,2
Huvudentrén,Prostatacancer-Center PCC,750.5,2
Nuklearmedicin Klin Fys,Avd 131 Njurmedicin,643.5,2
Avd 30 Urologi,71 Onkologisk mottagning team 3,373.5,2
Avd 67 Gynekologi,Strålbehandling Rum 10,430.0,2
Nuklearmedicin Klin Fys,Avd 137 Kirurgi,1358.0,2
Avd 67 Gynekologi,Strålbehandling Rum 8,762.5,2
Huvudentrén,AKOM akutteam 4,600.0,2
Avd 21 Geriatrik,Röntgen Plan 01 rum s18 (MR),189.5,2
Avd 19 specialist,Strålbehandling CT-MR-Fixation,731.5,2
Prostatacancer-Center PCC,Avd 141 Hematologi,1440.0,2
MR 51 Gamla Magnetkameran,Röntgen Plan 01 rum s19 (MR),311.5,2
MR 52 Gamla Magnetkameran,Avd 10 Neurokirurgi,1782.5,2
Nuklearmedicin Klin Fys,Avd 18 Öron Näsa Hals (på 27 under sommaren),701.0,2
Avd 67 Gynekologi,Röntgen Plan 01 rum s17,752.5,2
Avd 21 Geriatrik,Röntgen Söder rum S7,552.5,2
Hudmottagningen plan 01,Avd 91 MAVA,1760.5,2
Medicinmottagning 2,Avd 134 Ryggmärgsskador,897.0,2
Medicinmottagning 2,Avd 135 Stroke,1660.5,2
Operation 1,Avd 139 Transplantation,1655.5,2
Reumatologimottagningen,Röntgen Norr rum S11,1190.0,2
Kirurgmottagningen Dagvård,Avd 138 Kärlkirurgi,2035.5,2
Kirurgmottagningen Dagvård,Avd 18 Öron Näsa Hals,1683.5,2
Operation 1,Avd 30 Urologi,1525.0,2
Kirurgmottagningen Dagvård,Avd 52 Onkologi,1011.5,2
Kirurgmottagningen,Avd 80 Psykiatri,1588.5,2
Avd 30 Urologi (På 131 under sommaren),Röntgen Söder rum S7,490.0,2
Provtagningscentralen Centralkomplexet,Hudmottagningen plan 01,2108.5,2
Avd 21 Geriatrik,Öron Näsa Hals-Mottagningen (gamla rtg),518.0,2
Operation 1,Avd 68 Gynekologi,1089.5,2
Avd 52 Onkologi,Neurologimottagning (Blå str 7 plan 00),483.5,2
Reumatologimottagningen,Röntgen Söder rum S4,2191.0,2
Kirurgmottagningen Dagvård,AKOM akutteam 1,1405.0,2
Informationen,Avd 133 Neurologi,754.5,2
Kirurgmottagningen,Avd 133 Neurologi,2516.0,2
Kirurgmottagningen,Avd 135 Stroke,1014.0,2
Avd 32 Specialistmedicin,Operation 5 Neurokirurgi,536.0,2
Avd 52 Onkologi,Operation 5 Neurokirurgi,440.0,2
Avd 52 Onkologi,Röntgen Buk och Kärl S30 Genomlysning (Uppgång C plan 2),654.0,2
Avd 52 Onkologi,Röntgen Norr rum S10,791.0,2
Plastikmottagningen (Blå str 3),Avd 18 Öron Näsa Hals,1202.5,2
Avd 18 Öron Näsa Hals,Avd 132 Kirurgi,1430.5,2
Operation 4 Postop,Avd 54 Onkologi,686.0,2
Röntgen Buk och Kärl S31 S32 S33 Ultraljud (Uppgång C plan 2),Röntgen Norr rum S15,446.5,2
Avd 32 Specialistmedicin,Röntgen Söder rum S6,940.0,2
KK-akuten Gynekologisk Akutmottagning,Röntgen Norr rum S11,1495.0,2
Operation 1,Avd 137 Kirurgi,711.5,2
Hörselvård (Flyttat till  nya huset vid Uppgång H),Öron Näsa Hals-Mottagningen (gamla rtg),428.5,2
Hörselvård (Flyttat till  nya huset vid Uppgång H),Öron Näsa Hals-mottagning Akutsidan (gamla rtg),627.5,2
IVF,Avd 115 Reumatologi,1194.0,2
Operation 4 Postop,Operation 4 Postop,1246.0,2
Avd 19 specialist,Lungdiagnostisk Mott.,621.0,2
Avd 52 Onkologi,MR 51 Gamla Magnetkameran,531.5,2
Avd 54 Onkologi,Röntgen Söder rum S6,535.0,2
Matsal,AKOM triage,292.0,2
Avd 16/29 medicin,Röntgen Söder rum S3,1128.0,2
Avd 30 Urologi (På 131 under sommaren),Röntgen Buk och Kärl S30 Genomlysning (Uppgång C plan 2),1558.5,2
Avd 18 Öron Näsa Hals,Plastikmottagningen (Blå str 3),737.5,2
Avd 16/29 medicin,Röntgen Norr rum S13 MR-kamera,670.0,2
Avd 67 Gynekologi,Avd 131 Njurmedicin,1502.5,2
Avd 67 Gynekologi,Avd 133 Neurologi,3754.0,2
Ortopedimottagning (Blå stråket 3),Avd 134 Ryggmärgsskador,1135.0,2
Avd 18 Öron Näsa Hals (på 27 under sommaren),KFU Klinisk Fysiologi Ultraljud,169.5,2
Avd 32 Specialistmedicin,Operation 5 Narkosbedömning,411.5,2
Informationen,Reumatologimottagningen,1455.5,2
Neurokirurgimottagning (Blå str 7 plan 00),Avd 133 Neurologi,1316.0,2
Ortopedimottagning (Blå stråket 3),Avd 141 Hematologi,1480.0,2
Avd 54 Onkologi,Röntgen Norr rum s9,503.0,2
Nuklearmedicin Klin Fys,Strålbehandling Reception,1827.5,2
Intervention 1,AKOM team 2 medicin,1410.0,2
Avd 21 Geriatrik,Peritonealdialys ( PD Bruna str 5 ),975.5,2
Avd 90 MAVA,Avd 92 HIA Hjärtintensiv,1150.0,2
Avd 30 Urologi (På 131 under sommaren),AKOM akutteam 4,473.5,2
Neurologimottagning (Blå str 7 plan 00),Avd 32 Specialistmedicin,2614.5,2
Avd 67 Gynekologi,Avd 34 Geriatrik,2495.0,2
Avd 18 Öron Näsa Hals,Röntgen Plan 01 rum s18,842.0,2
Informationen,Lungmottagningen Vita Str 12,666.5,2
Avd 18 Öron Näsa Hals,Röntgen Plan 01 rum s20,362.5,2
Avd 90 MAVA,Avd 140 Hematologisk Mottagning,294.0,2
Avd 90 MAVA,Avd 19 specialist,1983.5,2
Avd 67 Gynekologi,Avd 68 Gynekologi,600.0,2
Avd 67 Gynekologi,Avd 91 MAVA,536.5,2
Neurokirurgi Inskrivning,Preoperativ mottagning Sahlgrenska Blå str 7 plan 1,1152.5,2
Kirurgmottagningen Dagvård,Avd 54 Onkologi,1134.5,2
Avd 90 MAVA,Avd 67 Gynekologi,1697.0,2
Onkologimottagning 1 och 2 (JK Blå str 2),Avd 21 Geriatrik,1557.0,2
Kirurgmottagningen Dagvård,Avd 80 Psykiatri,1504.0,2
Informationen,Avd 92 HIA Hjärtintensiv,822.0,2
Neurokirurgi Inskrivning,Röntgen Norr rum S16,928.5,2
Informationen,C-lab Klinisk Kemi Provinlämning,179.0,2
Informationen,GEA Gastroenterologisk Endoskopi,734.5,2
Neurokirurgi Inskrivning,Röntgen Plan 01 rum s17,108.0,2
Avd 16/29 medicin,Röntgen Plan 01 rum s19 (MR),727.5,2
Röntgen Buk och Kärl S31 S32 S33 Ultraljud (Uppgång C plan 2),Lungonkologisk Mottagning LOM,1043.0,2
Röntgen Buk och Kärl S31 S32 S33 Ultraljud (Uppgång C plan 2),Medicinmottagning 2,2451.5,2
Röntgen Buk och Kärl S31 S32 S33 Ultraljud (Uppgång C plan 2),Onkologimottagning 3 (KK Blå Str 6),1185.5,2
Avd 16/29 medicin,Avd 80 Psykiatri,1912.5,2
Avd 16/29 medicin,Avd 90 MAVA,1238.0,2
Avd 16/29 medicin,Avd 93 HIA Hjärtintensiv,3208.5,2
Avd 16/29 medicin,Avd 18 Öron Näsa Hals,2020.5,2
Röntgen Buk och Kärl S31 S32 S33 Ultraljud (Uppgång C plan 2),Röntgen Plan 2/3 rum s22,241.5,2
Röntgen Buk och Kärl S31 S32 S33 Ultraljud (Uppgång C plan 2),Röntgen Söder rum S6,426.0,2
Avd 16/29 medicin,Neurologimottagning (Blå str 7 plan 00),959.0,2
Avd 16/29 medicin,Avd 115 Reumatologi,2519.5,2
Avd 16/29 medicin,Avd 132 Kirurgi,2285.0,2
Avd 15/28 Ortopedi,Röntgen Plan 01 rum s20,136.5,2
Röntgen Buk och Kärl S34 S35 Biopsi (Uppgång C plan 2),Onkologimottagning 3 (KK Blå Str 6),963.5,2
Avd 16/29 medicin,Gynekologisk Mottagning,488.5,2
Röntgen Buk och Kärl S34 S35 Biopsi (Uppgång C plan 2),Avd 18 Öron Näsa Hals (på 27 under sommaren),1033.0,2
Avd 15/28 Ortopedi,Röntgen Norr rum S10,152.0,2
Röntgen Norr rum S11,Avd 23 Neurokirurgi,974.0,2
Avd 15/28 Ortopedi,Dialysmottagning (avd 130),330.5,2
Avd 15/28 Ortopedi,Medicinmottagning 2,772.5,2
Avd 15/28 Ortopedi,Avd 31 Plastik dagvård,524.0,2
Avd 15/28 Ortopedi,Avd 54 Onkologi,1800.5,2
Röntgen Norr rum S10,Avd 139 Transplantation,590.0,2
Röntgen Norr rum S10,Huvudentrén,634.5,2
Röntgen Norr rum S11,Avd 13 Kardiologi,645.0,2
Avd 15/28 Ortopedi,Avd 15/28 Ortopedi,426.0,2
Avd 15/28 Ortopedi,AKOM triage,620.0,2
Röntgen Norr rum S11,Avd 53 Onkologi,736.0,2
Röntgen Norr rum S11,CIVA avd 96,327.0,2
Avd 141 Hematologi,PIVA avd 22,1193.0,2
Avd 141 Hematologi,Öron Näsa Hals-Mottagningen ÖNH,1239.5,2
Avd 143 Transplantationsmottagning,Apoteket,1813.0,2
Avd 141 Hematologi,Lungmottagningen Vita Str 12,908.5,2
Avd 141 Hematologi,Strålbehandling Rum 10,268.5,2
Avd 141 Hematologi,Strålbehandling Rum 11,929.0,2
Avd 141 Hematologi,Strålbehandling Rum 3,737.5,2
Avd 141 Hematologi,Strålbehandling Rum 5,479.5,2
Avd 141 Hematologi,Urologmottagningen,1211.5,2
Röntgen Norr rum S11,Röntgen Norr rum S11,666.5,2
Avd 141 Hematologi,Röntgen Plan 01 rum s19,179.0,2
Röntgen Norr rum S12,Avd 81 Psykiatri,719.5,2
Röntgen Norr rum S12,Dialysmottagning (avd 130),543.0,2
Röntgen Norr rum S12,Röntgen Norr rum S15,129.0,2
Röntgen Norr rum S12,Avd 68 Gynekologi,1065.0,2
Avd 141 Hematologi,Avd 132 Kirurgi,559.5,2
Avd 141 Hematologi,Avd 16/29 medicin,2111.0,2
Avd 141 Hematologi,Avd 19 specialist,2282.5,2
Avd 141 Hematologi,Avd 34 Geriatrik,2582.0,2
Röntgen Norr rum S12,Avd 140 Hematologisk Mottagning,858.0,2
Röntgen Norr rum S12,Avd 30 Urologi (På 131 under sommaren),1067.5,2
Avd 140 Hematologisk Mottagning,Röntgen Plan 01 rum s20,775.0,2
Avd 140 Hematologisk Mottagning,Röntgen Söder rum S3,1579.5,2
Avd 140 Hematologisk Mottagning,Röntgen Söder rum S7,872.5,2
Avd 140 Hematologisk Mottagning,Röntgen Buk och Kärl S34 S35 Biopsi (Uppgång C plan 2),1488.0,2
Röntgen Norr rum S12,Röntgen Norr rum S16,731.0,2
Röntgen Norr rum S12,Röntgen Söder rum S4,600.0,2
Röntgen Norr rum S13 MR-kamera,Avd 10 Neurokirurgi,1947.5,2
Röntgen Norr rum S13 MR-kamera,Avd 132 Kirurgi,1262.0,2
Avd 140 Hematologisk Mottagning,Avd 15/28 Ortopedi,1428.5,2
Avd 140 Hematologisk Mottagning,Avd 21 Geriatrik,1257.5,2
Avd 140 Hematologisk Mottagning,Avd 34 Geriatrik,2040.0,2
Avd 14 Plastik,Röntgen Söder rum S5,633.5,2
Avd 14 Plastik,Strålbehandling Rum 9,868.5,2
Avd 140 Hematologisk Mottagning,Andningsfysiologi Klin fys mottagning 3,428.5,2
Avd 140 Hematologisk Mottagning,Apoteket,1346.5,2
Röntgen Norr rum S15,Avd 13 Kardiologi,636.5,2
Avd 14 Plastik,KFU Klinisk Fysiologi Ultraljud,720.0,2
Avd 14 Plastik,Kirurgmottagningen,688.0,2
Avd 14 Plastik,Avd 136 Kirurgi,1961.0,2
Avd 140 Hematologisk Mottagning,Avd 69 Onkologi,1978.5,2
Avd 140 Hematologisk Mottagning,GEA Gastroenterologisk Endoskopi,377.0,2
Röntgen Norr rum S15,Avd 23 Neurokirurgi,803.5,2
Röntgen Norr rum S15,Avd 27 Plastik,640.0,2
Avd 139 Transplantation,Öron Näsa Hals-Mottagningen (gamla rtg),522.0,2
Avd 139 Transplantation,Avd 139 Transplantation,547.5,2
Röntgen Norr rum S15,Öron Näsa Hals-Mottagningen (gamla rtg),848.5,2
Avd 139 Transplantation,Njurmottagningen Vita Str 12,951.0,2
Avd 139 Transplantation,Operation 3 Thorax (finns på OP 2 tillfälligt),377.5,2
Avd 139 Transplantation,Operation 7 Öron Näsa Hals,815.5,2
Avd 139 Transplantation,Röntgen Söder rum S3,732.5,2
Röntgen Norr rum S15,Intervention 1,460.0,2
Röntgen Norr rum S15,Intervention 3,522.5,2
Avd 139 Transplantation,Avd 131 Njurmedicin,1711.0,2
Avd 139 Transplantation,Avd 132 Kirurgi,803.5,2
Röntgen Norr rum S16,Avd 92 HIA Hjärtintensiv,1645.5,2
Avd 138 Kärlkirurgi,Operation 6 Plastikkirurgi,242.5,2
Avd 139 Transplantation,Boic-Gropen,358.5,2
Röntgen Norr rum S16,Nuklearmedicin Klin Fys,1139.0,2
Avd 138 Kärlkirurgi,Kirurgmottagningen,774.0,2
Röntgen Norr rum S16,Neurodagsjukvård (Bruna str 5 plan 1),1658.5,2
Avd 138 Kärlkirurgi,Avd 68 Gynekologi,1006.5,2
Avd 138 Kärlkirurgi,Avd 91 MAVA,611.5,2
Röntgen Norr rum S16,Dagvård Urologmottagningen,1761.0,2
Röntgen Norr rum S16,Gynekologisk Mottagning,1277.0,2
Röntgen Norr rum S16,Intervention 1,374.0,2
Röntgen Norr rum S16,Lungdiagnostisk Mott.,1465.5,2
Avd 138 Kärlkirurgi,Avd 30 Urologi (På 131 under sommaren),608.5,2
Avd 138 Kärlkirurgi,Avd 32 Specialistmedicin,2704.5,2
Avd 138 Kärlkirurgi,Avd 52 Onkologi,2059.5,2
Röntgen Norr rum s9,Avd 115 Reumatologi,1633.5,2
Röntgen Plan 01 rum s17,AKOM akutteam 1,1190.0,2
Röntgen Plan 01 rum s17,Avd 131 Njurmedicin,1481.5,2
Avd 137 Kirurgi,Urologmottagningen,667.0,2
Avd 138 Kärlkirurgi,Avd 115 Reumatologi,736.0,2
Röntgen Norr rum s9,AKOM akutteam 1,801.0,2
Avd 137 Kirurgi,Röntgen Plan 2/3 rum s22,455.0,2
Röntgen Norr rum S16,Röntgen Plan 01 rum s18,528.0,2
Röntgen Norr rum S16,Öron Näs Hals-Mottagningen ÖNH,940.0,2
Avd 137 Kirurgi,Avd 32 Specialistmedicin,825.0,2
Avd 137 Kirurgi,Avd 90 MAVA,1154.5,2
Avd 137 Kirurgi,Avd 92 HIA Hjärtintensiv,1043.5,2
Avd 137 Kirurgi,Boic-Gropen,1137.0,2
Avd 137 Kirurgi,Cystoskopi Urologmottagningen,1028.0,2
Avd 137 Kirurgi,Avd 113 Hud plan04,489.5,2
Avd 137 Kirurgi,Neurooftamologisk mott Sahlgrenska ÖK,353.0,2
Avd 137 Kirurgi,Nuklearmedicin Klin Fys,457.0,2
Avd 137 Kirurgi,Operation 7 Öron Näsa Hals,420.5,2
Röntgen Plan 01 rum s17,Avd 19 specialist,1006.5,2
Röntgen Plan 01 rum s17,Avd 30 Urologi,1209.0,2
Röntgen Plan 01 rum s17,Avd 52 Onkologi,1434.0,2
Avd 136 Kirurgi,Strålbehandling Rum 12,291.0,2
Avd 136 Kirurgi,Öron Näsa Hals-Mottagningen ÖNH,423.0,2
Avd 136 Kirurgi,Röntgen Norr rum S14 MR-kamera,559.0,2
Avd 136 Kirurgi,Röntgen Plan 01 rum s18 (MR),369.5,2
Röntgen Plan 01 rum s18,Avd 12 Thoraxkirurgi,2524.5,2
Röntgen Plan 01 rum s17,Neurokirurgi Inskrivning,1069.0,2
Röntgen Plan 01 rum s17 (MR),Avd 10 Neurokirurgi,1655.5,2
Röntgen Plan 01 rum s17 (MR),Avd 137 Kirurgi,857.0,2
Röntgen Plan 01 rum s18,Avd 93 HIA Hjärtintensiv,1779.0,2
Röntgen Plan 01 rum s18,Kirurgmottagningen,846.0,2
Avd 136 Kirurgi,Gynekologisk Mottagning,141.0,2
Avd 136 Kirurgi,KK-akuten Gynekologisk Akutmottagning,1002.5,2
Avd 136 Kirurgi,Kirurgmottagningen,673.0,2
Avd 136 Kirurgi,Neurooftamologisk mott Sahlgrenska ÖK,852.0,2
Avd 136 Kirurgi,Avd 18 Öron Näsa Hals,1432.0,2
Avd 136 Kirurgi,Avd 30 Urologi,1352.0,2
Avd 136 Kirurgi,Avd 52 Onkologi,2101.5,2
Röntgen Plan 01 rum s18,Avd 25 Thoraxkirurgi,1486.0,2
Röntgen Plan 01 rum s18,Avd 53 Onkologi,1817.5,2
Röntgen Plan 01 rum s18,Avd 68 Gynekologi,1483.0,2
Röntgen Plan 01 rum s18,Avd 80 Psykiatri,1867.0,2
Röntgen Plan 01 rum s18,Avd 81 Psykiatri,1155.5,2
Avd 136 Kirurgi,Avd 16/29 medicin,2656.0,2
Avd 135 Stroke,Öron Näsa Hals-mottagning Akutsidan (gamla rtg),1095.0,2
Avd 135 Stroke,Strålbehandling Rum 4,1229.5,2
Avd 135 Stroke,Strålbehandling Rum 8,1643.0,2
